;i0_percent;pfe_kw;shift_lv_degree;shift_mv_degree;sn_hv_kva;sn_lv_kva;sn_mv_kva;tp_max;tp_mid;tp_min;tp_pos;tp_side;tp_st_percent;vector_group;vn_hv_kv;vn_lv_kv;vn_mv_kv;vsc_hv_percent;vsc_lv_percent;vsc_mv_percent;vscr_hv_percent;vscr_lv_percent;vscr_mv_percent
63/25/38 MVA 110/10/10 kV;0.89;35;0;0;63000;38000;25000;10;0;-10;0;hv;1.2;YN0yn0yn0;110;10;10;10.4;10.4;10.4;0.28;0.35;0.32
63/25/38 MVA 110/20/10 kV;0.89;35;0;0;63000;38000;25000;10;0;-10;0;hv;1.2;YN0yn0yn0;110;10;20;10.4;10.4;10.4;0.28;0.35;0.32
