;r_ohm_per_km;max_i_ka;type;q_mm2;alpha
95-CU;0.193; 0.404;cs;95;0.00393
400-CU;0.0470;0.922;cs;400;0.00393
1200-CU;0.0151;1.791;cs;1200;0.00393
2400-CU;0.0073;2.678;cs;2400;0.00393
95-AL;0.32;0.310;cs;95;0.00403
400-AL;0.0778;0.705;cs;400;0.00403
1200-AL;0.0247;1.371;cs;1200;0.00403
2400-AL;0.0121;2.066;cs;2400;0.00403
