;sn_hv_kva;sn_mv_kva;sn_lv_kva;vn_hv_kv;vn_mv_kv;vn_lv_kv;vsc_hv_percent;vsc_mv_percent;vsc_lv_percent;vscr_hv_percent;vscr_mv_percent
63/25/38 MVA 110/10/10 kV;63000;25000;38000;110;10;10;10.4;10.4;10.4;0.28;0.32
63/25/38 MVA 110/20/10 kV;63000;25000;38000;110;20;10;10.4;10.4;10.4;0.28;0.32
