;sn_hv_mva;sn_mv_mva;sn_lv_mva;vn_hv_kv;vn_mv_kv;vn_lv_kv;vk_hv_percent;vk_mv_percent;vk_lv_percent;vkr_hv_percent;vkr_mv_percent;vkr_lv_percent;pfe_kw;i0_percent;shift_mv_degree;shift_lv_degree;tap_side;tap_neutral;tap_min;tap_max;tap_step_percent
63/25/38 MVA 110/20/10 kV;63;25;38;110;20;10;10.4;10.4;10.4;0.28;0.32;0.35;35;0.89;0;0;hv;0;-10;10;1.2
63/25/38 MVA 110/10/10 kV;63;25;38;110;10;10;10.4;10.4;10.4;0.28;0.32;0.35;35;0.89;0;0;hv;0;-10;10;1.2
