;vkr_mv_percent;vkr_lv_percent;pfe_mw;i0_percent;shift_mv_degree;shift_lv_degree;tap_side;tap_neutral;tap_min;tap_max;tap_step_percent
63/25/38 MVA 110/10/10 kV;0.32;0.35;35;0.89;0;0;hv;0;-10;10;1.2
63/25/38 MVA 110/20/10 kV;0.32;0.35;35;0.89;0;0;hv;0;-10;10;1.2
