**Parameter**;**Datatype**;**Explanation**
max_p_kw;float;Maximum active power
min_p_kw;float;Minimum active power
max_q_kvar;float;Maximum reactive power
min_q_kvar;float;Minimum reactive power
controllable;bool;States if sgen is controllable or not, sgen will not be used as a flexibilty if it is not controllable
cost_per_kw;float;Cost per kW
cost_per_kvar;float;Cost per kvar
