**Parameter**;**Datatype**;**Explanation**
vm_pu;float;voltage magnitude [p.u]
va_degree;float;voltage angle [degree]
p_mw;float;resulting active power demand [MW]
q_mvar;float;resulting reactive power demand [Mvar]
