**Parameter**;**Datatype**;**Value Range**;**Explanation**
s_sc_max_mva;float;:math:`>` 0;maximum short circuit power provision [MVA]
s_sc_max_mva;float;:math:`>` 0;minimum short circuit power provision [MVA]
rx_max;float;0…1;maxium R/X ratio of short-circuit impedance
rx_min;float;0…1;minimum R/X ratio of short-circuit impedance
;;;
