**Parameter**;**Datatype**;**Value Range**;**Explanation**
name;string;;name of the bus
vn_kv*;float;:math:`>` 0;rated voltage of the bus [kV]
type;string;"| naming conventions:
| *""n""* - node
| *""b""* - busbar
| *""m""* - muff";type variable to classify buses
zone;string;;can be used to group buses, for example network groups / regions
max_vm_pu**;float;:math:`>` 0;Maximum voltage
min_vm_pu**;float;:math:`>` 0;Minimum voltage
in_service*;boolean;True / False;specifies if the bus is in service.
